Location;Season;Sampling;Event number;Sample number;The number of sample;Image;FT-IR;Lost;Broken;diameter / mm;area / mm^2;estimated mass / µg;Color;Shape;Component;Remark;Product;Remark;Note
Vientiane;Dry Season;Regional Sampling;525;1;1;0525-0001.jpg;0525-0001-air-ATR.JDX;;;0,47;0,14;32,69;white;Fragment;PE;;;;
Vientiane;Dry Season;Regional Sampling;525;2;1;0525-0002.jpg;0525-0002-air-ATR.JDX;;?;3,14;4,63;1049,55;multicolor;Fragment;PE;??;;;
Vientiane;Dry Season;Regional Sampling;525;3;1;0525-0003.jpg;0525-0003-air-ATR.JDX;;?;1,83;1,28;290,86;multicolor;Fragment;PE;??;;;
Vientiane;Dry Season;Regional Sampling;525;4;1;0525-0004.jpg;0525-0004-air-ATR.JDX;;;1,27;0,91;-;white;Fragment;Not Plastic;can not be idenfied;;;
Vientiane;Dry Season;Regional Sampling;525;5;1;0525-0005.jpg;0525-0005-air-ATR.JDX;;;1,55;1,29;292,74;multicolor;Fragment;PE;??;;;
Vientiane;Dry Season;Regional Sampling;525;6;1;0525-0006.jpg;0525-0006-air-ATR.JDX;;;2,30;0,88;33,57;white;Sheet;PP;;;;
Vientiane;Dry Season;Regional Sampling;525;7;1;0525-0007.jpg;0525-0007-air-ATR.JDX;;?;2,48;3,21;728,15;multicolor;Fragment;PE;??;;;
Vientiane;Dry Season;Regional Sampling;525;8;1;0525-0008.jpg;0525-0008-air-ATR.JDX;;;1,71;1,27;288,03;multicolor;Fragment;PE;??;;;
Vientiane;Dry Season;Regional Sampling;525;9;1;0525-0009.jpg;0525-0009-air-ATR.JDX;;;9,75;7,33;938,70;white;Fiber;PE;??;;;
Vientiane;Dry Season;Regional Sampling;525;10;1;0525-0010.jpg;0525-0010-air-ATR.JDX;;?;0,49;0,13;-;white;Fragment;Not Plastic;inorganic matter;;;
Vientiane;Dry Season;Regional Sampling;525;11;1;0525-0011.jpg;0525-0011-air-ATR.JDX;;;1,10;0,56;126,97;white;Fragment;PE;??;;;
Vientiane;Dry Season;Regional Sampling;525;12;1;0525-0012.jpg;0525-0012-air-ATR.JDX;;?;0,59;0,18;41,13;yellow;Fragment;PE;??;;;
Vientiane;Dry Season;Regional Sampling;525;13;1;0525-0013.jpg;0525-0013-air-ATR.JDX;;;0,94;0,35;79,19;multicolor;Fragment;PE;??;;;
Vientiane;Dry Season;Regional Sampling;525;14;1;0525-0014.jpg;0525-0014-air-ATR.JDX;;;1,42;0,59;22,44;white;Sheet;PP;??;;;
Vientiane;Dry Season;Regional Sampling;525;15;1;0525-0015.jpg;0525-0015-air-ATR.JDX;;;1,17;0,25;15,13;yellow;Fiber;PP;;;;
